source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,...really bad things. Nasty to people &amp; would constantly miss meetings &amp; work. When Gen. Kelly came on board he told me she was a loser &amp; nothing but problems. I told him to try working it out if possible because she only said GREAT things about me - until she got fired!,8/13/2018 13:50,18386,80892,FALSE,1.029E+18
Twitter for iPhone,.....Will the FBI ever recover it’s once stellar reputation so badly damaged by Comey McCabe Peter S and his lover the lovely Lisa Page and other top officials now dismissed or fired? So many of the great men and women of the FBI have been hurt by these clowns and losers!,8/11/2018 13:18,25591,104931,FALSE,1.02827E+18
Twitter for iPhone,.....Will the FBI ever recover it’s once stellar reputation so badly damaged by Comey McCabe Peter S and his lover the lovely Lisa Page and other top officials now dismissed or fired? So many of the great men and women of the FBI have been hurt by these clowns and losers!,8/11/2018 12:49,4352,15424,FALSE,1.02826E+18
Twitter for iPhone,Why was the FBI’s sick loser Peter Strzok working on the totally discredited Mueller team of 13 Angry &amp; Conflicted Democrats when Strzok was giving Crooked Hillary a free pass yet telling his lover lawyer Lisa Page that “we’ll stop” Trump from becoming President? Witch Hunt!,6/18/2018 0:42,21339,84263,FALSE,1.00851E+18
Twitter for iPhone,The fact that I am having a meeting is a major loss for the U.S. say the haters &amp; losers. We have our hostages testing research and all missle launches have stoped and these pundits who have called me wrong from the beginning have nothing else they can say! We will be fine!,6/11/2018 22:04,33959,150303,FALSE,1.0063E+18
Twitter for iPhone,....non-existent “sources” and a drunk/drugged up loser who hates Michael a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble even if....,4/21/2018 13:10,10795,49503,FALSE,9.8768E+17
Twitter for iPhone,....non-existent “sources” and a drunk/drugged up loser who hates Michael a fine person with a wonderful family. Michael is a businessman for his own account/lawyer who I have always liked &amp; respected. Most people will flip if the Government lets them out of trouble even if....,4/21/2018 12:17,2671,10374,FALSE,9.87667E+17
Twitter for iPhone,The Fake News of big ratings loser CNN. https://t.co/rYsv90cnvs,2/18/2018 13:46,19637,76885,FALSE,9.65221E+17
Twitter for iPhone,The Democrats want to shut down the Government over Amnesty for all and Border Security. The biggest loser will be our rapidly rebuilding Military at a time we need it more than ever. We need a merit based system of immigration and we need it now! No more dangerous Lottery.,1/16/2018 14:07,24015,100620,FALSE,9.53268E+17
Twitter for iPhone,The Fake News Awards those going to the most corrupt &amp; biased of the Mainstream Media will be presented to the losers on Wednesday January 17th rather than this coming Monday. The interest in and importance of these awards is far greater than anyone could have anticipated!,1/7/2018 20:35,37762,151191,,9.50104E+17
Twitter for iPhone,Michael Wolff is a total loser who made up stories in order to sell this really boring and untruthful book. He used Sloppy Steve Bannon who cried when he got fired and begged for his job. Now Sloppy Steve has been dumped like a dog by almost everyone. Too bad! https://t.co/mEeUhk5ZV9,1/6/2018 4:32,23915,88836,,9.49499E+17
Twitter for iPhone,Crooked Hillary Clinton is the worst (and biggest) loser of all time. She just can’t stop which is so good for the Republican Party. Hillary get on with your life and give it another try in three years!,11/18/2017 13:31,51390,191955,FALSE,9.31878E+17
Twitter for iPhone,While in the Philippines I was forced to watch @CNN which I have not done in months and again realized how bad and FAKE it is. Loser!,11/15/2017 10:45,32702,135601,FALSE,9.30749E+17
Twitter for iPhone,RT @realDonaldTrump: Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must…,9/17/2017 13:03,21445,0,TRUE,9.09402E+17
Twitter for iPhone,Loser terrorists must be dealt with in a much tougher manner.The internet is their main recruitment tool which we must cut off &amp; use better!,9/15/2017 10:48,21411,97462,FALSE,9.08644E+17
Twitter for iPhone,Another attack in London by a loser terrorist.These are sick and demented people who were in the sights of Scotland Yard. Must be proactive!,9/15/2017 10:42,29327,110223,FALSE,9.08642E+17
Twitter for iPhone,RT @Bet22325450ste: @FoxBusiness @foxandfriends Come on America. Get on the Trump Train. The winners already have boarded! The losers are w…,8/4/2017 13:20,9648,0,TRUE,8.93462E+17
Twitter for Android,.@CNN just doesn't get it and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists mostly losers in life!,9/17/2016 13:13,12708,39146,FALSE,7.77133E+17
Twitter for iPhone,Bill Kristol has been wrong for 2yrs-an embarrassed loser but if the GOP can't control their own then they are not a party. Be tough R's!,5/29/2016 22:53,5076,16261,FALSE,7.37054E+17
Twitter for Android,"@daybastrop @foxandfriends @BretBaier The liars that signed the pledge and now won't support @realDonaldTrump IS the reason they are losers,05-09-2016 12:15:04,3520,10096,false,729645861089775616
Twitter for iPhone,Phony Club For Growth tried to shake me down for one million dollars &amp; is now putting out nasty negative ads on me. They are total losers!,03-09-2016 21:46:12,4856,13859,false,707683931609550848
Twitter for Android,.@FoxNews is devastated that lightweight Senator Marco Rubio got trounced tonight and is the big loser. I won the two big states great!,03-06-2016 05:40:37,5472,19409,false,706353772751163392
Twitter for Android,@SirHatchporch: Mary Kissel is an SNL character right? She's not a real person right? #MorningJoe""  She is a major loser - no clue!",3/4/2016 12:29,1630,5944,FALSE,7.05732E+17
Twitter for Android,Have a good chance to win Texas on Tuesday. Cruz is a nasty guy not one Senate endorsement and despite talk gets nothing done. Loser!,2/26/2016 14:02,4815,15440,FALSE,7.03219E+17
Twitter for Android,There are no buyers for the worthless @NYDailyNews but little Mort Zuckerman is frantically looking. It is bleeding red ink - a total loser!,2/11/2016 14:13,2062,6845,FALSE,6.97785E+17
Twitter for iPhone,Really dumb @CheriJacobus. Begged my people for a job. Turned her down twice and she went hostile. Major loser zero credibility!,2/6/2016 2:01,1725,4860,FALSE,6.95789E+17
Twitter for iPhone,Dope Frank Bruni said I called many people including Karl Rove losers-true! I never called my friend @HowardStern a loser- he’s a winner!,1/19/2016 14:44,1456,4280,FALSE,6.89458E+17
Twitter for iPhone,Joe McQuaid (@deucecrew) is desperately trying to sell the @UnionLeader. It's a loser and my comments haven't helped him much.,12/30/2015 15:22,766,2488,FALSE,6.8222E+17
Twitter for Android,"@Sir_Max: andreajmarkley: Rubio finally gets an endorsement – from #Benghazi loser Gowdy #Tcot #pjnet https://t.co/lJcHG0IHaM via dailyne,12-27-2015 12:37:24,929,2210,false,681091509811306496
Twitter for Android,.@JebBush today said he didn't want to be the front-runner he would rather be where he is now 2%. That is the talk of a loser can't win!,12-21-2015 04:42:21,3119,8076,false,678797631250911232
Twitter for Android,Something must be done with dopey @KarlRove - he is pushing Republicans down the same old path of defeat. Don't fall for it Karl is a loser,12-13-2015 05:28:50,2528,6031,false,675910224855855104
Twitter for Android,Why does @CNN bore their audience with people like @secupp a totally biased loser who doesn't have a clue. I hear she will soon be gone!,12-10-2015 02:25:58,1471,4041,false,674777043163332608
Twitter for Android,@mysteriousLoser: @realDonaldTrump did you hear the mayor nutter of philadelphias comments towards you? Ignorance"" Yes he is a crude dope!",12/9/2015 13:20,944,2740,FALSE,6.74579E+17
Twitter for Android,@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser!  Fox should dump Rove.,11/25/2015 13:40,681,1445,FALSE,6.69511E+17
Twitter Web Client,Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!,11/24/2015 20:02,2477,5192,FALSE,6.69245E+17
Twitter for Android,"The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!",11/20/2015 12:50,6526,12758,FALSE,6.67686E+17
Twitter for Android,I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!,11/15/2015 23:47,797,2166,FALSE,6.6604E+17
Twitter for Android,@N_R_Mandela: @realDonaldTrump And you're still a negative loser and Trump is still a positive winner. I'm Black and proudly voting TRUMP!,11/1/2015 5:15,925,2361,FALSE,6.60687E+17
Twitter for Android,The money losing @politico is considered by many in the world of politics to be the dumbest and most slanted of the political sites. Losers!,10/29/2015 10:47,1266,2537,FALSE,6.59683E+17
Twitter for Android,@joeoh89: @seanhannity  @realDonaldTrump What happened to The Pledge? Walker quits and slams Trump. Losers proving Pledge was sham.,9/22/2015 2:27,1555,2498,FALSE,6.46149E+17
Twitter for Android,@MlSSTHOT: @realDonaldTrump: Ignore the losers and the haters you are  going to make this country great again,9/12/2015 11:19,650,1589,FALSE,6.42659E+17
Twitter for Android,"@RubenMMoreno: @realDonaldTrump The biggest loser in the debate was @megynkelly. You can't out trump Donald Trump. You will lose!,08-07-2015 07:23:31,866,1977,false,629553442944602112
Twitter Web Client,Via @fitsnews: “Donald Trump: John McCain Is ‘A Loser’” http://t.co/sgiETvdUqi,07-18-2015 21:45:48,438,905,false,622522682245033984
Twitter Web Client,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,07-16-2015 15:02:34,537,845,false,621696429749325825
Twitter for Android,@nojoed: @realDonaldTrump @KarlRove Karl why don't you sit this election cycle out we had enough losers to last us a life time."" True.",6/22/2015 19:59,99,228,FALSE,6.13074E+17
Twitter Web Client,It's time for government to stop picking winners &amp; losers. Let’s make sure everyone can achieve the American dream! https://t.co/u25yI5T7E8,6/22/2015 16:35,229,438,FALSE,6.13023E+17
Twitter for Android,@_Snurk: @realDonaldTrump Love it! Always respect FIGHTERS over overrated loser POLITITIANS!! Inspire GREATNESS! #TRUMP #2016,6/16/2015 7:30,21,58,FALSE,6.10711E+17
Twitter for Android,@Bobzilla305: @realDonaldTrump @krauthammer is a progressive making money off of the Conservative viewership A total loser!,6/5/2015 4:10,26,45,FALSE,6.06674E+17
Twitter Web Client,All the haters &amp; losers must admit that unlike others I never attacked dopey Jon Stewart for his phony last name. Would never do that!,6/1/2015 16:20,125,192,FALSE,6.05409E+17
Twitter Web Client,While Jon Stewart is a joke not very bright and totally overrated some losers and haters will miss him &amp; his dumb clown humor. Too bad!,6/1/2015 16:19,290,389,FALSE,6.05408E+17
Twitter for Android,All the haters and losers must admit that unlike others  I never attacked dopey Jon Stewart for his phony last name. Would never do that!,5/31/2015 2:33,306,405,FALSE,6.04838E+17
Twitter for Android,While Jon Stewart is a joke not very bright and totally overrated some losers and haters will miss him and his dumb clown humor. Too bad!,5/31/2015 1:48,444,656,FALSE,6.04827E+17
Twitter for Android,I would like to wish everyone including all haters and losers (of which sadly there are many) a truly happy and enjoyable Memorial Day!,5/24/2015 20:26,8567,11084,FALSE,6.02571E+17
Twitter for Android,@HarmonBrew: @FoxNews @megynkelly  DonaldTrump #KellyFile Trump is so right about Geller. Megyn stop advocating for her; its a loser.,5/21/2015 5:58,11,12,FALSE,6.01266E+17
Twitter Web Client,@KhathuEnos  ignoring haters and losers is the best medicine of success build a wall from whatever they throw towards you Sir.,5/18/2015 14:30,51,74,FALSE,6.00308E+17
Twitter for Android,@utkarsh_chheda: @realDonaldTrump @Elgianne damn.. a lot of haters follow u....  Haters and losers!,5/18/2015 12:11,22,46,FALSE,6.00272E+17
Twitter for Android,Why do we always try to destroy our true champions and winners in this country while at the same time leaving the losers alone? STUPID!,5/11/2015 23:47,1908,2163,FALSE,5.97911E+17
Twitter for Android,"@ScottFConroy: Kentucky Derby? More like Kentucky Losers! DonaldTrump is only horse in race that matters for America! Strong fierce noble,05-02-2015 22:59:19,68,105,false,594637318754992128
Twitter for Android,.@NRO  Not much is as dead"" or irrelevant as National Review thanks to guidance of Goldberg a total loser! Get some real talent or fold!",4/25/2015 14:40,72,109,FALSE,5.91975E+17
Twitter for Android,For all of the haters and losers out there sorry I never went Bankrupt -- but I did build a world class company and employ many people!,4/18/2015 11:21,436,717,FALSE,5.89388E+17
Twitter for Android,"@BretBaier: Tonight on the #SpecialReport panel we have @georgewillf @ron_fournier and @JonahNRO. What a group of losers on your panel!,04-18-2015 02:10:05,16,43,false,589249511714902016
Twitter for Android,Thanks @JamersonHayes they are all total losers with nothing going for them!,04-12-2015 01:54:20,13,39,false,587071216990756864
Twitter for Android,@tijfbutler: Greatest Easter greeting ever RT“@realDonaldTrump: I wish everyone including the haters and losers a very happy Easter!”""",4/5/2015 19:55,57,97,FALSE,5.84807E+17
Twitter for Android,I wish everyone including the haters and losers a very happy Easter!,4/5/2015 9:24,12290,13177,FALSE,5.84648E+17
Twitter for Android,"@MotAmazeBeGREAT: What separates the winners from the losers is how a person reacts to each new twist of fate."" - Donald Trump",2/14/2015 2:36,76,93,FALSE,5.66426E+17
Twitter for Android,@VMilaccio: #DonaldTrump was right about #RosieODonnell. She is a no talent loser who deserves her comeuppance. @realDonaldTrump,2/11/2015 2:50,23,73,FALSE,5.65342E+17
Twitter for Android,"@realmissalusa: What separates the winners from the losers is how a person reacts to each new twist of fate."" @realDonaldTrump 👑✨""",1/27/2015 2:18,51,102,FALSE,5.59898E+17
